Experiment,Section,Variable,Source,Model,ScalarName,AnalysisType,Region,ScalarType,Units,Data,Weight
co2,CarbonCycle,NetBiomeProductivity,ENSMEAN,co2_20pct,Benchmark Period Mean (intersection),MeanState,temperate,scalar,g m-2 d-1,-0.0111089,1
co2,CarbonCycle,NetBiomeProductivity,ENSMEAN,co2_20pct,Model Period Mean (intersection),MeanState,temperate,scalar,g m-2 d-1,0.00590338,1
co2,CarbonCycle,NetBiomeProductivity,ENSMEAN,co2_20pct,Benchmark Period Mean (intersection),MeanState,boreal,scalar,g m-2 d-1,-0.000947703,1
co2,CarbonCycle,NetBiomeProductivity,ENSMEAN,co2_20pct,Model Period Mean (intersection),MeanState,boreal,scalar,g m-2 d-1,0.0323067,1
co2,CarbonCycle,NetBiomeProductivity,ENSMEAN,co2_-20pct,Benchmark Period Mean (intersection),MeanState,global,scalar,g m-2 d-1,-0.000307558,1
co2,CarbonCycle,NetBiomeProductivity,ENSMEAN,co2_-20pct,Model Period Mean (intersection),MeanState,global,scalar,g m-2 d-1,-0.0610192,1
co2,CarbonCycle,NetBiomeProductivity,ENSMEAN,co2_-20pct,Benchmark Period Mean (intersection),MeanState,tropics,scalar,g m-2 d-1,-0.000322659,1
co2,CarbonCycle,NetBiomeProductivity,ENSMEAN,co2_-20pct,Model Period Mean (intersection),MeanState,tropics,scalar,g m-2 d-1,-0.0563271,1
co2,CarbonCycle,NetBiomeProductivity,ENSMEAN,co2_-20pct,Benchmark Period Mean (intersection),MeanState,subtropics,scalar,g m-2 d-1,-0.0009089,1
co2,CarbonCycle,NetBiomeProductivity,ENSMEAN,co2_-20pct,Model Period Mean (intersection),MeanState,subtropics,scalar,g m-2 d-1,-0.0637561,1
co2,CarbonCycle,NetBiomeProductivity,ENSMEAN,co2_-20pct,Benchmark Period Mean (intersection),MeanState,temperate,scalar,g m-2 d-1,-0.0111089,1
co2,CarbonCycle,NetBiomeProductivity,ENSMEAN,co2_-20pct,Model Period Mean (intersection),MeanState,temperate,scalar,g m-2 d-1,-0.0423937,1
co2,CarbonCycle,NetBiomeProductivity,ENSMEAN,co2_-20pct,Benchmark Period Mean (intersection),MeanState,boreal,scalar,g m-2 d-1,-0.000947703,1
co2,CarbonCycle,NetBiomeProductivity,ENSMEAN,co2_-20pct,Model Period Mean (intersection),MeanState,boreal,scalar,g m-2 d-1,-0.0301061,1
co2,CarbonCycle,NetBiomeProductivity,ENSMEAN,co2_60pct,Benchmark Period Mean (intersection),MeanState,global,scalar,g m-2 d-1,-0.000307558,1
co2,CarbonCycle,NetBiomeProductivity,ENSMEAN,co2_60pct,Model Period Mean (intersection),MeanState,global,scalar,g m-2 d-1,0.0941278,1
co2,CarbonCycle,NetBiomeProductivity,ENSMEAN,co2_60pct,Benchmark Period Mean (intersection),MeanState,tropics,scalar,g m-2 d-1,-0.000322659,1
co2,CarbonCycle,NetBiomeProductivity,ENSMEAN,co2_60pct,Model Period Mean (intersection),MeanState,tropics,scalar,g m-2 d-1,0.225977,1
co2,CarbonCycle,NetBiomeProductivity,ENSMEAN,co2_60pct,Benchmark Period Mean (intersection),MeanState,subtropics,scalar,g m-2 d-1,-0.0009089,1
co2,CarbonCycle,NetBiomeProductivity,ENSMEAN,co2_60pct,Model Period Mean (intersection),MeanState,subtropics,scalar,g m-2 d-1,0.0657701,1
co2,CarbonCycle,NetBiomeProductivity,ENSMEAN,co2_60pct,Benchmark Period Mean (intersection),MeanState,temperate,scalar,g m-2 d-1,-0.0111089,1
co2,CarbonCycle,NetBiomeProductivity,ENSMEAN,co2_60pct,Model Period Mean (intersection),MeanState,temperate,scalar,g m-2 d-1,0.122136,1
co2,CarbonCycle,NetBiomeProductivity,ENSMEAN,co2_60pct,Benchmark Period Mean (intersection),MeanState,boreal,scalar,g m-2 d-1,-0.000947703,1
co2,CarbonCycle,NetBiomeProductivity,ENSMEAN,co2_60pct,Model Period Mean (intersection),MeanState,boreal,scalar,g m-2 d-1,0.0901766,1
co2,CarbonCycle,NetBiomeProductivity,ENSMEAN,co2_-60pct,Benchmark Period Mean (intersection),MeanState,global,scalar,g m-2 d-1,-0.000307558,1
co2,CarbonCycle,NetBiomeProductivity,ENSMEAN,co2_-60pct,Model Period Mean (intersection),MeanState,global,scalar,g m-2 d-1,-0.0110175,1
co2,CarbonCycle,NetBiomeProductivity,ENSMEAN,co2_-60pct,Benchmark Period Mean (intersection),MeanState,tropics,scalar,g m-2 d-1,-0.000322659,1
co2,CarbonCycle,NetBiomeProductivity,ENSMEAN,co2_-60pct,Model Period Mean (intersection),MeanState,tropics,scalar,g m-2 d-1,0.0507394,1
co2,CarbonCycle,NetBiomeProductivity,ENSMEAN,co2_-60pct,Benchmark Period Mean (intersection),MeanState,subtropics,scalar,g m-2 d-1,-0.0009089,1
co2,CarbonCycle,NetBiomeProductivity,ENSMEAN,co2_-60pct,Model Period Mean (intersection),MeanState,subtropics,scalar,g m-2 d-1,0.150197,1
co2,CarbonCycle,NetBiomeProductivity,ENSMEAN,co2_-60pct,Benchmark Period Mean (intersection),MeanState,temperate,scalar,g m-2 d-1,-0.0111089,1
co2,CarbonCycle,NetBiomeProductivity,ENSMEAN,co2_-60pct,Model Period Mean (intersection),MeanState,temperate,scalar,g m-2 d-1,0.282674,1
co2,CarbonCycle,NetBiomeProductivity,ENSMEAN,co2_-60pct,Benchmark Period Mean (intersection),MeanState,boreal,scalar,g m-2 d-1,-0.000947703,1
